Dates,NIFTY200_MOMENTUM30,NIFTY_100,NIFTY_SMALLCAP_250
2012-12-31,3877,6863,2992
2013-01-01,3905,6921,3031
2013-01-02,3926,6970,3056
2013-01-03,3919,6991,3078
2013-01-04,3911,6997,3093
2013-01-07,3892,6971,3103
2013-01-08,3899,6984,3096
2013-01-09,3883,6952,3086
2013-01-10,3871,6947,3076
2013-01-11,3826,6916,3033
2013-01-14,3833,7004,3061
2013-01-15,3847,7039,3067
2013-01-16,3810,6970,3023
2013-01-17,3817,7008,3023
2013-01-18,3807,7029,3019
2013-01-21,3800,7049,3021
2013-01-22,3790,7005,2991
2013-01-23,3787,7007,2958
2013-01-24,3753,6954,2884
2013-01-25,3794,7025,2922
2013-01-28,3802,7027,2926
2013-01-29,3775,6994,2904
2013-01-30,3791,6998,2903
2013-01-31,3799,6986,2908
2013-02-01,3788,6954,2903
2013-02-04,3786,6938,2872
2013-02-05,3797,6904,2854
2013-02-06,3816,6911,2858
2013-02-07,3805,6883,2824
2013-02-08,3767,6841,2796
2013-02-11,3780,6835,2793
2013-02-12,3801,6862,2781
2013-02-13,3792,6865,2771
2013-02-14,3788,6815,2729
2013-02-15,3791,6809,2717
2013-02-18,3786,6825,2731
2013-02-19,3823,6876,2762
2013-02-20,3826,6877,2768
2013-02-21,3775,6767,2724
2013-02-22,3776,6768,2726
2013-02-25,3777,6767,2696
2013-02-26,3733,6663,2640
2013-02-27,3728,6709,2656
2013-02-28,3682,6584,2599
2013-03-01,3713,6620,2597
2013-03-04,3690,6590,2552
2013-03-05,3753,6689,2592
2013-03-06,3756,6728,2629
2013-03-07,3774,6776,2642
2013-03-08,3812,6868,2666
2013-03-11,3813,6866,2677
2013-03-12,3817,6829,2665
2013-03-13,3786,6751,2633
2013-03-14,3819,6818,2634
2013-03-15,3815,6777,2610
2013-03-18,3807,6741,2600
2013-03-19,3758,6633,2558
2013-03-20,3733,6563,2507
2013-03-21,3703,6522,2474
2013-03-22,3702,6516,2461
2013-03-25,3694,6493,2454
2013-03-26,3703,6502,2461
2013-03-28,3724,6558,2497
2013-04-01,3738,6589,2543
2013-04-02,3755,6646,2592
2013-04-03,3701,6560,2577
2013-04-04,3628,6448,2521
2013-04-05,3610,6427,2515
