Dates, NIFTY 500 , NIFTY 200 , NIFTY SMALLCAP 100 , NIFTY500 VALUE 50 , NIFTY200 QUALITY 30 , NIFTY200 MOMENTUM 30 , NIFTY100 LOW VOLATILITY 30 
2005-05-31,0.09,0.09,0.09,0.10,0.08,0.10,0.09
2005-06-30,0.04,0.05,0.01,-0.02,0.06,0.04,0.05
2005-07-31,0.07,0.06,0.12,0.12,0.04,0.09,0.07
2005-08-31,0.05,0.04,0.15,0.06,0.03,0.00,0.06
2005-09-30,0.07,0.08,0.02,0.04,0.09,0.09,0.07
2005-10-31,-0.09,-0.09,-0.11,-0.11,-0.09,-0.09,-0.09
2005-11-30,0.12,0.12,0.12,0.08,0.13,0.16,0.16
2005-12-31,0.07,0.07,0.03,0.04,0.07,0.07,0.07
2006-01-31,0.05,0.05,0.09,0.01,0.08,0.10,0.07
2006-02-28,0.03,0.03,0.01,0.02,0.03,0.03,0.05
2006-03-31,0.10,0.10,0.12,0.06,0.09,0.12,0.11
2006-04-30,0.05,0.05,0.11,0.06,0.04,0.07,0.04
2006-05-31,-0.14,-0.14,-0.06,-0.08,-0.14,-0.17,-0.16
2006-06-30,-0.02,-0.02,-0.10,-0.11,0.01,-0.01,0.00
2006-07-31,0.00,0.00,-0.01,-0.03,-0.01,0.00,0.03
2006-08-31,0.10,0.10,0.12,0.14,0.08,0.10,0.10
2006-09-30,0.07,0.07,0.07,0.10,0.05,0.06,0.05
2006-10-31,0.04,0.04,0.05,0.03,0.04,0.05,0.04
2006-11-30,0.05,0.05,0.04,-0.04,0.02,0.05,0.04
2006-12-31,0.01,0.01,0.01,0.01,0.01,0.01,0.02
2007-01-31,0.03,0.03,0.06,0.08,0.01,0.00,0.00
2007-02-28,-0.08,-0.08,-0.06,-0.09,-0.07,-0.09,-0.08
2007-03-31,0.01,0.02,-0.02,0.00,0.02,0.01,0.01
2007-04-30,0.07,0.08,0.09,0.11,0.07,0.10,0.07
2007-05-31,0.05,0.06,0.08,0.08,0.05,0.05,0.04
2007-06-30,0.02,0.02,0.06,0.01,0.02,0.06,0.01
2007-07-31,0.04,0.05,0.04,0.05,0.03,0.06,0.02
2007-08-31,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02
2007-09-30,0.13,0.13,0.09,0.18,0.11,0.16,0.11
2007-10-31,0.15,0.16,0.11,0.07,0.13,0.29,0.08
2007-11-30,0.01,0.01,0.07,0.12,-0.01,0.07,-0.02
2007-12-31,0.10,0.09,0.18,0.21,0.09,0.07,0.09
2008-01-31,-0.19,-0.19,-0.22,-0.27,-0.16,-0.20,-0.16
2008-02-29,0.00,0.01,0.00,0.04,0.03,-0.03,0.05
2008-03-31,-0.12,-0.12,-0.17,-0.17,-0.07,-0.18,-0.07
2008-04-30,0.10,0.11,0.12,0.13,0.10,0.14,0.09
2008-05-31,-0.06,-0.07,-0.06,-0.05,-0.03,-0.07,-0.03
2008-06-30,-0.19,-0.19,-0.17,-0.20,-0.18,-0.23,-0.13
2008-07-31,0.08,0.09,0.03,0.10,0.06,0.11,0.03
2008-08-31,0.01,0.01,0.02,0.00,0.03,0.00,0.05
2008-09-30,-0.12,-0.12,-0.19,-0.11,-0.12,-0.12,-0.09
2008-10-31,-0.27,-0.27,-0.37,-0.26,-0.24,-0.27,-0.22
2008-11-30,-0.06,-0.05,-0.14,-0.01,-0.07,0.00,-0.05
2008-12-31,0.10,0.10,0.12,0.12,0.05,0.07,0.05
2009-01-31,-0.04,-0.03,-0.09,-0.03,-0.01,-0.01,0.02
2009-02-28,-0.04,-0.04,-0.06,-0.08,-0.03,-0.03,-0.01
2009-03-31,0.09,0.08,0.09,0.02,0.09,0.09,0.09
2009-04-30,0.16,0.16,0.17,0.19,0.14,0.06,0.11
2009-05-31,0.34,0.34,0.47,0.57,0.27,0.14,0.18
2009-06-30,-0.03,-0.03,-0.01,-0.05,0.04,0.02,0.03
2009-07-31,0.09,0.09,0.07,0.11,0.14,0.12,0.14
2009-08-31,0.02,0.02,0.08,0.06,0.03,0.00,-0.01
2009-09-30,0.07,0.07,0.05,0.15,0.09,0.08,0.08
2009-10-31,-0.06,-0.07,-0.05,-0.08,0.03,-0.05,-0.03
2009-11-30,0.08,0.08,0.06,0.08,0.06,0.10,0.06
2009-12-31,0.05,0.04,0.07,0.06,0.05,0.04,0.04
2010-01-31,-0.04,-0.04,0.00,-0.03,-0.04,-0.05,-0.04
2010-02-28,-0.01,0.00,-0.02,-0.01,0.03,0.01,0.02
2010-03-31,0.05,0.04,0.06,0.06,0.06,0.05,0.05
2010-04-30,0.01,0.01,0.04,0.06,0.01,0.02,0.00
2010-05-31,-0.03,-0.03,-0.07,-0.05,0.00,-0.04,0.01
2010-06-30,0.05,0.05,0.05,0.06,0.06,0.03,0.07
2010-07-31,0.01,0.02,0.04,0.04,0.00,0.05,-0.01
2010-08-31,0.01,0.01,0.05,0.07,0.01,0.04,0.02
2010-09-30,0.09,0.10,0.07,0.06,0.08,0.08,0.09
2010-10-31,0.01,0.00,0.04,0.09,0.00,0.05,0.00
2010-11-30,-0.04,-0.03,-0.10,-0.07,0.00,-0.02,-0.01
2010-12-31,0.03,0.03,0.02,0.00,0.05,-0.02,0.03
2011-01-31,-0.10,-0.10,-0.12,-0.11,-0.08,-0.09,-0.08
2011-02-28,-0.04,-0.04,-0.07,-0.08,-0.05,-0.02,-0.04
2011-03-31,0.09,0.09,0.07,0.07,0.07,0.09,0.08
2011-04-30,0.00,-0.01,0.06,0.02,0.03,0.01,0.01
2011-05-31,-0.03,-0.02,-0.02,-0.03,0.01,-0.02,-0.01
