Date,Fund_A,Fund_B,Fund_C,Fund_D,Fund_E
2012-06-30,1.098162,0.795497,0.796524,0.885564,0.829436
2012-07-31,0.738934,0.841337,1.028197,1.193114,0.997637
2012-08-31,0.498790,0.826934,0.782187,0.884285,0.762499
2012-09-30,1.467046,0.732279,1.031883,1.477586,0.877118
2012-10-31,0.496331,0.763303,0.807472,0.723922,0.835393
2012-11-30,0.622718,0.678162,0.567198,0.669716,0.574858
2012-12-31,1.621852,0.730921,0.766350,0.835632,0.689249
2013-01-31,1.917962,0.746959,0.978423,1.037895,0.859838
2013-02-28,0.803571,0.515464,0.380807,0.167224,0.364178
2013-03-31,-0.136268,0.835968,0.910470,0.993720,0.973116
2013-04-30,2.824589,0.954438,1.466165,1.676637,1.314930
2013-05-31,3.861721,0.841902,1.197975,1.045134,0.878678
2013-06-30,-1.041334,0.506398,-0.016272,-0.045970,0.087902
2013-07-31,-5.255003,-0.435760,-1.961103,-2.337881,-1.860279
2013-08-31,-2.289452,0.540245,-0.261454,-0.094184,-0.187114
2013-09-30,0.836820,1.618827,1.818333,2.262550,2.021355
2013-10-31,2.586445,0.997323,1.724561,1.474994,1.462012
2013-11-30,-0.674127,0.642852,0.132573,0.431524,0.622047
2013-12-31,0.128953,0.737521,0.698094,0.768883,0.766883
2014-01-31,1.118417,0.686364,0.561775,0.538600,0.590200
2014-02-28,0.120660,0.564825,0.388273,0.625000,0.625338
2014-03-31,1.258704,1.039380,1.337911,1.353150,1.419365
2014-04-30,1.229833,0.741167,0.872376,0.795214,0.764052
2014-05-31,2.155454,0.837192,1.474847,1.295599,1.178679
2014-06-30,0.728900,0.496887,0.844652,0.693105,0.697485
2014-07-31,0.939444,0.901239,0.622524,0.645756,0.626336
2014-08-31,0.289272,0.707108,0.397450,0.599309,0.593146
2014-09-30,1.084776,0.769894,1.041978,0.988225,0.953629
2014-10-31,3.399293,1.295764,1.559786,1.346381,1.391693
2014-11-30,2.189693,0.911120,0.989919,0.938163,0.967214
2014-12-31,2.747446,1.064339,0.897330,0.624152,0.648024
2015-01-31,2.708262,1.490948,1.242946,1.139428,1.301701
2015-02-28,0.383845,0.273989,0.303394,0.499967,0.566494
2015-03-31,-0.088667,0.337190,0.692881,0.769435,0.748781
2015-04-30,-0.349437,-0.295498,0.359775,0.579252,0.511387
2015-05-31,0.350662,0.929800,0.692608,0.680628,0.739434
2015-06-30,-1.103777,-0.408798,0.051847,0.533021,0.444444
2015-07-31,1.424565,1.150489,1.153873,0.950472,1.213462
2015-08-31,0.857111,1.114540,0.727459,0.608467,0.728622
2015-09-30,2.500137,1.927534,1.268098,0.821238,0.815414
2015-10-31,0.005349,0.110914,0.599324,0.694576,0.789251
2015-11-30,-0.657895,-0.238201,0.053252,0.514203,0.355941
2015-12-31,0.113067,0.855128,0.575477,0.499095,0.438512
2016-01-31,0.225879,0.853383,0.638333,0.608356,0.430177
2016-02-29,0.053660,0.196528,0.042724,0.283828,-0.351617
2016-03-31,2.547463,1.879699,1.685227,1.433581,1.302367
2016-04-30,1.344072,0.967966,0.962719,0.818877,0.994300
2016-05-31,0.423160,0.429025,0.588762,0.661813,0.514203
2016-06-30,1.233299,0.828015,0.718921,0.788955,0.761120
2016-07-31,3.492386,2.474108,1.774998,1.719741,1.424060
2016-08-31,1.638219,1.526211,0.872021,0.862823,1.068311
2016-09-30,1.433259,1.312217,1.005999,0.936362,0.978497
2016-10-31,0.661306,0.764230,0.676170,0.721526,0.693863
2016-11-30,5.388033,3.147008,2.160102,1.910285,1.496970
2016-12-31,-2.453135,-1.690222,-0.494551,-0.574616,-0.146319
2017-01-31,1.149372,1.180185,0.907711,1.217596,1.025731
2017-02-28,-2.081724,-1.012816,-0.259541,-0.149676,0.162451
2017-03-31,1.425057,0.829212,0.898930,0.521874,0.613994
2017-04-30,-0.018307,0.485740,0.246175,0.403181,0.420265
2017-05-31,1.721139,0.952427,0.926738,0.819627,0.796881
2017-06-30,2.232022,1.208932,0.993541,0.993016,0.927085
2017-07-31,0.660269,0.964962,0.891986,1.026472,0.907298
2017-08-31,0.415428,0.756240,0.656679,0.684492,0.591980
2017-09-30,-0.387580,-0.055256,0.112969,0.265562,0.316456
2017-10-31,-0.231704,0.460723,0.352629,0.513826,0.575571
2017-11-30,-0.407519,0.077964,0.216456,0.237154,0.214604
2017-12-31,-1.038367,-0.352855,-0.182328,-0.194532,0.027454
2018-01-31,-0.573537,0.432283,0.354082,0.358215,0.450129
2018-02-28,-0.746769,-0.160264,0.190418,0.125978,0.289633
2018-03-31,2.559020,1.247478,1.162693,1.226737,1.155187
2018-04-30,-0.751186,-0.484689,-0.433762,-0.388420,-0.091575
2018-05-31,0.407206,0.045519,0.185915,0.093584,0.544562
2018-06-30,0.163103,0.509577,0.498546,0.529815,0.557701
2018-07-31,1.100255,0.941560,0.799228,0.940374,0.794582
2018-08-31,0.065297,0.762366,0.462064,0.547707,0.539654
2018-09-30,0.469831,0.013352,0.125191,-0.101817,-0.105247
2018-10-31,1.273003,0.725347,0.592552,0.800082,0.626877
2018-11-30,1.765787,1.449083,0.926827,1.233569,1.020836
2018-12-31,2.071255,1.615643,0.840674,0.958849,0.678862
2019-01-31,0.131714,0.638553,0.655781,0.672734,0.627960
2019-02-28,0.069881,0.489716,0.461595,0.520833,0.271100
2019-03-31,1.881367,1.851852,1.402053,1.715710,1.285518
2019-04-30,0.000000,-0.041606,0.212320,0.086501,0.292118
2019-05-31,3.185227,2.164412,1.374570,1.642099,0.959172
2019-06-30,1.789622,0.985944,0.364470,0.552695,0.472543
2019-07-31,2.882917,2.097874,1.340850,1.742930,1.000050
2019-08-31,0.279840,0.142253,0.779331,0.794200,0.715651
2019-09-30,-0.208364,0.224914,0.360544,0.155756,0.730034
2019-10-31,0.898583,1.157480,1.223923,1.070301,1.033966
2019-11-30,0.487787,0.930178,0.778343,0.796488,1.334226
2019-12-31,0.397161,-0.057841,0.323019,0.134692,0.368098
2020-01-31,0.190469,0.740798,0.728690,0.712909,1.020312
2020-02-29,2.592037,1.788587,1.168045,1.384561,1.131022
2020-03-31,0.816050,0.176845,0.178173,0.610372,0.092047
2020-04-30,1.947616,-0.015024,0.227655,0.266236,-0.652934
2020-05-31,1.764787,2.434260,2.053709,2.224350,1.291308
2020-06-30,0.735920,1.628282,1.564927,1.814001,1.384510
2020-07-31,0.882741,1.324336,1.351351,1.304893,1.460249
2020-08-31,-1.636047,-0.915275,-0.144144,-0.445876,0.075515
2020-09-30,0.944104,0.819495,0.525532,0.505930,0.941009
2020-10-31,1.458622,2.007130,1.328278,1.518402,1.200475
2020-11-30,0.535792,0.856254,0.768362,0.800683,0.955940
2020-12-31,0.513075,0.329198,0.432891,0.548365,0.503572
2021-01-31,-0.253581,0.107070,0.050323,-0.096243,0.364010
2021-02-28,-2.155969,-2.035606,-0.275542,-0.875045,-0.072538
2021-03-31,0.914459,1.165739,0.572343,0.935412,0.734446
2021-04-30,1.056644,0.588338,0.634498,0.766268,0.699419
2021-05-31,0.370591,0.605662,0.463665,0.593224,1.081832
2021-06-30,-0.138458,0.244246,0.267426,0.071242,0.545538
2021-07-31,0.346626,0.267673,0.378560,0.628856,0.513585
2021-08-31,0.888246,1.006229,0.677124,0.723185,0.700511
2021-09-30,0.665210,0.823394,0.468245,0.464354,0.360095
2021-10-31,-0.174921,0.013443,0.169477,0.073798,0.293566
2021-11-30,0.736606,0.628381,0.353185,0.461867,0.756159
2021-12-31,-0.421982,-0.237093,0.054793,0.104312,0.088767
2022-01-31,-0.245851,0.087029,0.027382,0.069469,0.499879
2022-02-28,0.246457,0.274238,0.273742,0.339388,0.581629
2022-03-31,-0.029114,0.276824,0.350693,0.438175,0.398804
2022-04-30,-0.647165,-0.365862,0.085797,-0.371207,0.115194
2022-05-31,-0.964044,-0.928028,-0.240445,-0.722133,-0.257896
2022-06-30,0.049329,-0.340319,0.253600,0.061905,0.326186
2022-07-31,0.736285,1.179971,0.967931,0.831336,0.884184
2022-08-31,1.331289,1.029205,0.848914,0.997047,0.664204
2022-09-30,0.074062,-0.324138,0.390088,0.018985,0.027330
2022-10-31,0.093314,0.391558,0.539910,0.387214,0.542545
2022-11-30,1.170155,1.021353,0.689571,0.771442,0.687138
2022-12-31,0.257380,0.193044,0.383838,0.409036,0.478100
2023-01-31,0.304260,0.055516,0.382371,0.384946,0.391404
2023-02-28,0.009479,-0.225203,0.463111,0.346240,0.206406
2023-03-31,1.285899,1.233235,0.834148,0.834786,1.014648
2023-04-30,1.275813,1.373316,0.837143,1.008168,0.951590
2023-05-31,1.145779,0.768201,0.777202,0.805042,0.486272
2023-06-30,-0.106581,-0.012653,0.428449,0.361363,0.379690
2023-07-31,0.201195,0.673859,0.601148,0.658913,0.726841
2023-08-31,0.498935,0.465087,0.643818,0.593790,0.445475
2023-09-30,0.072652,0.115734,0.457749,0.501387,0.417843
2023-10-31,-0.284349,0.009373,0.408000,0.265365,0.540205
2023-11-30,0.870647,0.952827,0.632298,0.571671,0.736976
2023-12-31,1.278157,0.934551,0.696253,0.649123,0.709961
2024-01-31,0.890842,1.235552,0.597748,0.620533,1.062802
2024-02-29,1.239110,1.178074,0.642626,0.876555,0.750655
2024-03-31,0.686106,0.751295,0.703300,0.690342,0.463907
2024-04-30,-0.565934,-0.680333,0.411681,0.436607,0.262366
2024-05-31,1.748120,1.507583,0.770568,0.855833,0.924601
2024-06-30,0.650704,0.948873,0.548532,0.572448,0.490908
2024-07-31,0.864831,0.747293,0.856245,0.893963,0.918536
2024-08-31,1.031710,1.263292,0.648374,0.753302,1.012442
2024-09-30,1.524806,1.688174,0.708261,0.968348,0.739066
2024-10-31,-0.295996,-0.112552,0.576053,0.557821,0.800643
2024-11-30,0.351851,0.070425,0.602621,0.499578,0.292456
2024-12-31,0.454707,0.329355,0.492482,0.513234,0.437405
2025-01-31,0.605350,0.704245,0.585649,0.648704,0.752227
2025-02-28,-0.298143,-0.245180,0.511403,0.312689,0.501015
2025-03-31,2.449368,2.027706,1.120737,1.345463,0.886253
