date,Fund_A,Fund_B,Fund_C
2015-01-31,7.104,0.537,4.628
2015-02-28,1.524,0.304,-2.084
2015-03-31,2.028,0.495,-2.121
2015-04-30,-4.398,1.609,-2.034
2015-05-31,7.906,1.263,1.738
2015-06-30,0.316,-1.342,-0.822
2015-07-31,4.814,2.677,3.332
2015-08-31,-6.052,-3.576,-6.719
2015-09-30,1.61,-2.762,-0.631
2015-10-31,-0.539,7.125,1.365
2015-11-30,-0.628,2.974,0.866
2015-12-31,0.937,-0.282,-2.218
2016-01-31,-7.039,-6.69,-8.674
2016-02-29,-5.907,-5.682,-11.106
2016-03-31,7.932,8.955,15.446
2016-04-30,4.152,0.469,2.92
2016-05-31,2.754,1.671,4.35
2016-06-30,2.668,0.547,2.815
2016-07-31,8.162,4.487,5.394
2016-08-31,1.03,2.635,2.903
2016-09-30,1.73,-1.302,-0.11
2016-10-31,2.514,2.48,2.576
2016-11-30,-5.182,-3.076,-4.816
2016-12-31,-3.245,-0.254,-2.01
2017-01-31,7.57,2.881,5.967
2017-02-28,6.002,3.431,3.575
2017-03-31,4.743,1.361,3.885
2017-04-30,3.585,1.924,3.49
2017-05-31,1.437,2.041,1.879
2017-06-30,-0.607,1.368,-0.46
2017-07-31,6.587,2.882,6.544
2017-08-31,3.099,0.904,-3.242
2017-09-30,-2.383,2.792,-1.791
2017-10-31,2.665,2.942,8.831
2017-11-30,0.071,1.069,1.01
2017-12-31,4.066,2.47,2.759
2018-01-31,0.066,2.601,3.009
2018-02-28,-3.046,-2.047,-6.643
2018-03-31,-0.59,-5.145,-5.749
2018-04-30,4.548,5.094,5.402
2018-05-31,-3.127,0.734,-1.796
2018-06-30,-2.718,0.764,-3.41
2018-07-31,4.457,3.94,7.039
2018-08-31,0.164,3.89,5.198
2018-09-30,-9.46,-5.241,-7.907
2018-10-31,-4.968,-5.889,-0.339
2018-11-30,7.456,2.158,0.884
2018-12-31,0.251,-0.472,2.103
2019-01-31,-3.416,1.2,-0.021
2019-02-28,-0.456,2.269,-2.162
2019-03-31,7.507,3.159,10.608
2019-04-30,-0.214,1.365,-1.029
2019-05-31,3.293,-0.855,3.303
2019-06-30,-0.697,0.66,0.497
2019-07-31,-7.461,-2.305,-7.637
2019-08-31,2.126,-0.176,-3.763
2019-09-30,4.775,3.31,3.303
2019-10-31,3.254,3.489,3.71
2019-11-30,-1.565,1.132,0.931
2019-12-31,1.363,0.48,-0.02
2020-01-31,0.438,2.415,-1.927
2020-02-29,-4.498,-4.415,-7.957
2020-03-31,-25.1,-19.683,-24.611
2020-04-30,12.336,14.07,13.582
2020-05-31,-2.67,4.795,-3.912
2020-06-30,8.186,6.06,6.927
2020-07-31,8.095,9.768,4.573
2020-08-31,0.8,6.03,5.462
2020-09-30,0.094,1.607,-5.267
2020-10-31,2.236,-1.091,2.209
2020-11-30,9.812,8.621,14.45
2020-12-31,6.004,4.459,9.663
