date,nifty100,nifty_midcap150,nifty_smallcap250,nifty500_value50,nifty100_quality30,nifty_midcap150_quality50,nifty_smallcap250_quality50,nifty200_momentum30,nifty_midcap150_momentum50
2015-01-31,6.1015,4.4201,4.4554,2.128,7.5928,2.9665,3.5141,9.1866,6.8894
2015-02-28,1.05,1.4985,0.6507,-2.2296,2.8395,1.0966,1.9135,0.7264,2.3721
2015-03-31,-3.9407,-1.4369,-1.1459,-2.8773,-2.3733,0.8259,0.9065,0.5802,0.8174
2015-04-30,-3.2799,-3.4574,-1.7558,0.356,-5.6079,-3.3249,-2.5623,-3.6256,-4.8727
2015-05-31,3.2475,4.0531,1.787,-0.3984,3.4824,4.8543,0.9722,4.749,5.3049
2015-06-30,-0.3847,-1.2224,-2.411,-5.4506,-1.5312,-0.4841,-3.1741,-0.4676,0.6777
2015-07-31,2.6855,5.8916,9.2141,7.1205,2.5253,2.5313,9.0734,6.9943,6.3674
2015-08-31,-6.0256,-5.4205,-7.6663,-8.2419,-1.3323,-4.2827,-5.1205,-4.6398,-2.9622
2015-09-30,-0.5371,0.639,0.9477,-0.8836,-0.3329,-1.1116,2.4882,0.3358,1.0893
2015-10-31,1.428,2.5397,2.3183,5.1158,0.8228,1.3507,4.8164,0.1216,2.256
2015-11-30,-1.4179,1.6173,2.9885,-0.7262,-2.8665,-0.3027,3.5598,-3.5358,-1.2703
2015-12-31,0.4286,0.7743,2.2689,-0.3761,0.9341,1.5898,2.6276,0.8669,0.2595
2016-01-31,-5.3018,-7.0701,-9.8164,-10.8116,-2.8198,-5.7901,-8.8321,-5.5748,-4.4918
2016-02-29,-7.4475,-9.6899,-13.3176,-9.9562,-6.8041,-6.6721,-11.1006,-8.0058,-8.2346
2016-03-31,10.8019,11.5598,12.3778,18.4667,8.304,8.667,10.5038,9.8451,8.3502
2016-04-30,1.6825,3.4911,5.3135,5.2782,0.8063,3.6801,5.6026,2.9904,4.7493
2016-05-31,3.8182,2.0477,0.6441,-0.9586,3.4106,2.9655,3.133,2.2619,1.7277
2016-06-30,2.2938,4.3975,7.9835,8.6327,2.08,3.4485,6.9231,2.8563,3.5276
2016-07-31,5.2324,5.4519,4.3756,12.3929,3.6753,4.9775,0.8821,9.3042,5.0524
2016-08-31,1.956,4.4893,2.6663,3.2657,0.6375,4.9198,2.3355,3.2869,4.3321
2016-09-30,-1.6643,0.7686,0.6676,0.1383,-1.7783,-0.3015,1.5522,-0.4335,2.1309
2016-10-31,0.7125,4.2005,5.6381,6.805,0.2996,4.0248,6.1176,1.8247,4.1168
2016-11-30,-4.8196,-8.003,-9.3155,-2.7945,-3.8828,-6.9153,-6.6472,-3.9977,-10.1655
